Input Dish,Actual Output
ca ri ga,"Chicken:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Tin of Traditional Twists and Nuggets

coconut milk:
title: Mae Ploy Coconut Milk
title: White King Champ-O-Rado - Chocolate Rice Porridge Mix

lemongrass:
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)
title: MarketSpice Teabags, box of 24 (Market Spice Tea) Cinnamon-Orange (Net WT 56G)"
Bún bò nam bộ,"Beef:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Soup Mix Cube - Fish

Rice noodles:
title: Thai Kitchen Wide Rice Noodles
title: Nanka Seimen Chow Mein Udon Noodles

Broth:
title: Kikkoman Instant Osuimono Japanese Clear Broth
title: Vegetarian Bouillon Mix-Mushroom Flavor"
Bò lúc lắc,"Beef:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Soup Mix Cube - Fish

onions:
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads

peppercorns:
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors"
Chạo tôm,"Shrimp:
title: FS9168: Economy Fossil Shrimp
title: Gummy Lobsters

Pork:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Wild Boar Tenderloin - 2 Pieces per Package

Rice vermicelli:
title: Thai Kitchen Wide Rice Noodles
title: Nanka Seimen Chow Mein Udon Noodles"
Phở bò,"Beef bones:
title: Bulk Chocolate Poker Chips, 400+ Per Order
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)

rice noodles:
title: Thai Kitchen Wide Rice Noodles
title: Nanka Seimen Chow Mein Udon Noodles

broth:
title: Vegetarian Bouillon Mix-Mushroom Flavor
title: Minor&rsquo;s Clam Base - no-added MSG"
Bò kho,"Beef:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Soup Mix Cube - Fish

beef broth:
title: Kikkoman Instant Osuimono Japanese Clear Broth
title: Vegetarian Bouillon Mix-Mushroom Flavor

lemongrass:
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)
title: MarketSpice Teabags, box of 24 (Market Spice Tea) Cinnamon-Orange (Net WT 56G)"
Nước chấm,"Fish sauce:
title: Squid Brand Fish Sauce
title: Thai Kitchen Fish Sauce

Sugar:
title: CK Products 4 Ounce Black Crystal Sugar
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar

Lime juice:
title: Lime Juice
title: Fruit Slices Lime"
Thịt kho tàu,"Pork belly:
title: Kombu - 2.1 oz - Strips
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors

caramelized sugar:
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors

fish sauce:
title: Squid Brand Fish Sauce
title: Thai Kitchen Fish Sauce"
Chả giò,"Pork:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Wild Boar Tenderloin - 2 Pieces per Package

Vermicelli noodles:
title: Nanka Seimen Chow Mein Udon Noodles
title: Nanka Seimen Futonaga Udon Noodles

Bean sprouts:
title: Dynasty Sliced Water Chestnuts
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Esquites,"Corn:
title: Easter Bunny Candy Corn
title: Swiss Sapsago-12 / 3 Oz Cones

mayonnaise:
title: Hawaiian Hula Papaya Seed Dressing
title: Wild Thymes Mediterranean Balsamic Vinaigrette

cotija cheese:
title: Queso Panela - 6 LB Wheel
title: Sonoma Jack - 2/5lb Wheels"
Cochinita pibil,"Pork:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Wild Boar Tenderloin - 2 Pieces per Package

Achiote Paste:
title: MB Exclusive Black Olive Paste
title: Tuong Ot Sambal Oelek Chili Paste

Orange:
title: CK Products No.1 Sanding Sugar, Orange
title: Dolfin Dark with Orange Peel"
Chilorio,"Pork shoulder:
title: Wild Boar Tenderloin - 2 Pieces per Package
title: Smoked Sockeye (Red) Salmon-1&amp;1/4 pound fillet

dried chiles:
title: Magic Chile - Pasilla (Medium) 1.5oz
title: San Marcos Whole Jalapeno 26 ounces

onions:
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Antojitos,"Corn tortillas:
title: 4 Dozen Elk Tamales
title: Vegetarian Tamales

beans:
title: Roman Beans
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)

meat:
title: Wild Boar Tenderloin - 2 Pieces per Package
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)"
Sopa Tarasca,"Pork loin:
title: Smoked Coho (Silver) Salmon-1/2 pound fillet
title: Smoked Sockeye (Red) Salmon-1&amp;1/4 pound fillet

potatoes:
title: Omaha Steaks 8 (5.5 oz.) Stuffed Baked Potatoes
title: Omaha Steaks - 2 (12 oz. trays) Roasted Garlic Mashed Potatoes

garlic:
title: Lingham's Hot Sauce with Garlic
title: Kikkoman Black Bean Sauce with Garlic"
Barbacoa,"Beef chuck roast:
title: Wild Boar Tenderloin - 2 Pieces per Package
title: Smoked Coho (Silver) Salmon-1/2 pound fillet

spices:
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors

onion:
title: Vanilla Powder 8 Oz. JR Mushrooms brand
title: Vanilla Powder 4 Oz. JR Mushrooms brand"
Chilaquiles,"Corn tortillas:
title: 4 Dozen Elk Tamales
title: Vegetarian Tamales

salsa:
title: Homemade Salsa
title: Dona Maria Mole Mexican Sauce

cheese:
title: El Nacho Grande Bag Cheese
title: Sonoma Jack - 2/5lb Wheels"
Chilaquiles,"Corn Tortillas:
title: 4 Dozen Elk Tamales
title: Vegetarian Tamales

Salsa Roja:
title: Dona Maria Mole Mexican Sauce
title: El Pato Mexican Hot Style Tomato Sauce

Cheese:
title: El Nacho Grande Bag Cheese
title: Amaranth Mini-Ridges - Cheddar"
Sopa de lima,"Lime juice:
title: Lime Juice
title: Fruit Slices Lime

chicken broth:
title: Minor&rsquo;s Clam Base - no-added MSG
title: Kikkoman Instant Osuimono Japanese Clear Broth

corn tortillas:
title: 4 Dozen Elk Tamales
title: Vegetarian Tamales"
Bionico,"Watermelon:
title: Fruit Slices Pink Grapefruit
title: Fruit Slices Cherry

mango:
title: Tango Mango - Li Hing Dried Mango (sweet and sour)
title: Tango Melon - Li Hing Gummy Watermelon (sweet and sour)

lime:
title: Fruit Slices Lime
title: Dolfin Dark with Orange Peel"
Pescado zarandeado,"Fish:
title: Soup Mix Cube - Fish
title: FS9168: Economy Fossil Shrimp

marinade:
title: D'oni Moondance Soy Cilantro Marinade
title: Turkey Fixin&rsquo;s Marinades

wood fire grill:
title: Espresso Malta, 12 oz. drip grind
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)"
Oaxaca Cheese,"Milk:
title: Coconut Milk
title: Carob Chips, Milk Sweetened

rennet:
title: Vanilla Powder 8 Oz. JR Mushrooms brand
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)

salt:
title: Banana Heads 4 pounds
title: Maldon Sea Salt Flakes, 8.5 ounce Box"
Enchiladas Suizas,"Corn tortillas:
title: 4 Dozen Elk Tamales
title: Vegetarian Tamales

chicken:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Tin of Traditional Twists and Nuggets

Suiza sauce:
title: Dona Maria Mole Mexican Sauce
title: El Pato Mexican Hot Style Tomato Sauce"
Shawarma,"Meat:
title: Maine Lobster Meat
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken

Pita bread:
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors

Tahini sauce:
title: Spicy Tomato And Cardamom Cooking Sauce
title: Aloha Hawaiian Style Teriyaki Sauce"
Kunafa,"Shredded phyllo dough:
title: Food to Live Macadamia Nuts (Raw, Kosher) (8 Ounces)
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors

cheese:
title: El Nacho Grande Bag Cheese
title: Sonoma Jack - 2/5lb Wheels

sugar syrup:
title: Deni 5750 Snow Factory Premium Syrup
title: Boysenberries in light syrup"
Shakshouka,"Tomatoes:
title: Miracolo of San Gennaro Tomatoes - S. Abagnale - Campania, Italy
title: Capers Berries

Eggs:
title: Swiss Sapsago-12 / 3 Oz Cones
title: Roman Beans

Peppers:
title: Cajun Chef Tabasco Peppers
title: California Chili Pods"
Qatayef,"Flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour

semolina:
title: Organic Semolina Flour (Semola di Grano Duro)
title: Authentic Foods Garfava Flour

milk:
title: Banana Heads 4 pounds
title: Vanilla Powder 8 Oz. JR Mushrooms brand"
Ful medames,"Fava beans:
title: Roman Beans
title: Capers Berries

olive oil:
title: Mustapha's Moroccan Extra Virgin Olive Oil
title: Magina Valley Extra Virgin Olive Oil

lemon juice:
title: Blood Orange Concentrate - 30 Ounces (1 Container)
title: White King Champ-O-Rado - Chocolate Rice Porridge Mix"
Lokma,"Flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour

Yeast:
title: Saf Instant Yeast, 1 Pound Pouch
title: 2 Caramel Corn, 1 Chocolate Popcorn Flavorings

Water:
title: Rose Flower Water
title: Tart Cherries (Pie Cherries) in water"
Malawach,"Flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour

Water:
title: Rose Flower Water
title: Tart Cherries (Pie Cherries) in water

Oil:
title: Woodwind Key Oil
title: O Olive Oil - Tahitian Lime California Citrus Oil"
Martabak,"Flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour

Eggs:
title: Swiss Sapsago-12 / 3 Oz Cones
title: Roman Beans

Sugar:
title: CK Products 4 Ounce Black Crystal Sugar
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar"
Jachnun,"Flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour

semolina:
title: Organic Semolina Flour (Semola di Grano Duro)
title: Authentic Foods Garfava Flour

spices:
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors"
Hareesh,"Toor dal:
title: Green Chana (Desi Dry Chickpeas) - 2 Pounds
title: Lijjat Punjabi Indian Papad - Traditional Handmade - 3 packages of 7 oz

rice:
title: Vigo Saffron Yellow Rice
title: 2.2 Lb Molinella Arborio Rice

cumin seeds:
title: Dried Star Anise Seeds
title: Cumin Seed (Ground)"
Tamees,"Milk:
title: Coconut Milk
title: Carob Chips, Milk Sweetened

Semolina:
title: Authentic Foods Garfava Flour
title: Golden Semolina And Extra Fancy Durum Pasta Flour

Sugar:
title: CK Products 4 Ounce Black Crystal Sugar
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar"
Saltah,"Lamb:
title: Barbecue Sauce Smokin' Joes Mild Flavor 18-oz Twin Pack Jar. Sweet BBQ Sauce Mild Flavor Is a Family Favorite. We Use No Brown Sugar so This Sauce Won't Burn on the Grill. Low Sodium, No Preservatives, 0 Fats, 0 Cholesterol, &amp; Kosher Certified. Use As a Marinade for Meat, Fish and Chicken
title: Wine Country Gift Baskets Christmas Ghirardelli Milk and Dark Chocolate Gift Basket, Holiday Gift Basket, Christmas Gift Basket, Family Gift Basket, Corporate Gift Basket, Birthday Gift

onions:
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads

spice blend:
title: Spice Hunter Pepper Lemon Blend
title: R.M. QUIGGS Herb Rice Mix"
Momo,"Dough:
title: Sally's Secret, Loose tea by the Pound
title: Wine Country Gift Baskets Christmas Ghirardelli Milk and Dark Chocolate Gift Basket, Holiday Gift Basket, Christmas Gift Basket, Family Gift Basket, Corporate Gift Basket, Birthday Gift

Filling:
title: Sally's Secret, Loose tea by the Pound
title: Queen Catherine, Loose tea by the Pound

Water:
title: Rose Flower Water
title: Tart Cherries (Pie Cherries) in water"
Chatamari,"Rice flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour

Water:
title: Rose Flower Water
title: Tart Cherries (Pie Cherries) in water

Yogurt:
title: Bernard Hi-Protein Farina Cereal Mix
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Gundruk ko Jhol,"Gundruk:
title: Kombu - 2.1 oz - Strips
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads

Potatoes:
title: Omaha Steaks 8 (5.5 oz.) Stuffed Baked Potatoes
title: Omaha Steaks - 2 (12 oz. trays) Roasted Garlic Mashed Potatoes

Spices:
title: McFadden Farm Organic Chili Flakes Herbs
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads"
Chukauni,"Potatoes:
title: Omaha Steaks 8 (5.5 oz.) Stuffed Baked Potatoes
title: Omaha Steaks - 2 (12 oz. trays) Roasted Garlic Mashed Potatoes

Spinach:
title: Ajika Ajwain Seeds - Indian, Persian, African, Middle Eastern Spice for Breads, Vegetables, Salads
title: Hawaiian Hula Papaya Seed Dressing

Mustard Oil:
title: Pure Sesame Oil
title: Dynasty Sesame Seed Oil"
Dungro,"Milk:
title: Coconut Milk
title: Carob Chips, Milk Sweetened

Sugar:
title: CK Products 4 Ounce Black Crystal Sugar
title: Bigelow Oolong Tea Bags Classic- 20 ct Caffeinated Individual Black Tea Bags, for Hot Tea or Iced Tea, Drink Plain or Sweetened with Honey or Sugar

Flour:
title: Authentic Foods Garfava Flour
title: White Whole Wheat Flour"
Puri Tarkari,"Potatoes:
title: Omaha Steaks 8 (5.5 oz.) Stuffed Baked Potatoes
title: Omaha Steaks - 2 (12 oz. trays) Roasted Garlic Mashed Potatoes

Peas:
title: Roman Beans
title: Capers Berries

Turmeric Powder:
title: Extra Hot Reshampatti Red Chili Powder
title: McFadden Farm Organic Garlic Powder"
Milk shake,"Milk:
title: Coconut Milk
title: Carob Chips, Milk Sweetened

ice cream:
title: Gumballs Peaches n Cream
title: O &amp; H Danish Kringles, Set of Two, Pecan and Raspberry flavors

flavoring:
title: 2 Caramel Corn, 1 Chocolate Popcorn Flavorings
title: Chocolate Popcorn Flavoring"
